tinyId	designation	question_text	definition	datatype	permissible_values	classification	concept_codes	external_ids	steward_org	registration_status	nih_endorsed
X199y_b_2dl	Neurological Outcome Scale for Traumatic Brain Injury (NOS - TBI) - Smell scale		The scale as related to smell, as part of Neurological Outcome Scale for Traumatic Brain Injury (NOS-TBI)	Value List	0=No observed or reported change in sense of smell | 1=Decreased sense of smell by observation or report (at least one error in identifying stimuli) | 2=Absent sense of smell by observation | UN=Untestable	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C20673; BRICS Variable Name:NOSTBISmellScl	NINDS	Qualified	False
myscJ_ZW3ul	Neurological Outcome Scale for Traumatic Brain Injury (NOS - TBI) - Smell untestable reason		Reason smell is untestable, as part of Neurological Outcome Scale for Traumatic Brain Injury (NOS-TBI)	Text		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C20674; BRICS Variable Name:NOSTBISmellUntestblRsn	NINDS	Qualified	False
7yGFluqCq7	Neurological Pupil index anatomic site		Anatomic site of the Neurological Pupil index (NPi) value being reported.	Value List	Right eye | Left eye	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C52615; BRICS Variable Name:NPIAnatSite	NINDS	Qualified	False
DNU0V_sGy	Neurological Pupil index score		Score on the Neurological Pupil index (NPi)	Number		NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C52616; BRICS Variable Name:NPIScore	NINDS	Qualified	False
7k_te_5AcX	Neurological Pupil index value range grade		Grade within the range of measurement values for the Neurological Pupil index (NPi) value being reported.	Value List	Mean daily | Largest | Smallest	NINDS > Disease; NINDS > Domain; NINDS > Population		NINDS:C52614; BRICS Variable Name:NPIValueRangeGrade	NINDS	Qualified	False
fPwLBysa	Neurological Severity Score (NSS) - Neurological severity score	Neurological Severity Score (NSS) - Neurological severity score	Composite score for Neurological Severity Score (NSS)	Value List	0 | 1 | 10 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9	NINDS > Preclinical TBI		BRICS Variable Name:NSSNeuroSevScore	NINDS	Qualified	False
ExjeRT2y	Neurological Severity Score (NSS) - balance beam width measurement value	Neurological Severity Score (NSS) - balance beam width measurement value	Value of measurement of width of the balance beam (in cm), as part of Neurological Severity Score (NSS)	Number		NINDS > Preclinical TBI		BRICS Variable Name:NSSBalanceBeamWidthMeasVal	NINDS	Qualified	False
x2e2yWSXg	Neurological Severity Score (NSS) - balance stick diameter measurement value	Neurological Severity Score (NSS) - balance stick diameter measurement value	Value of measurement of diameter of the balance stick (in cm), as part of Neurological Severity Score (NSS)	Number		NINDS > Preclinical TBI		BRICS Variable Name:NSSBalanceStickDiamMeasVal	NINDS	Qualified	False
BzzItPtYS	Neurological Severity Score (NSS) - beam balance inability scale	Neurological Severity Score (NSS) - beam balance inability scale	Scale of inability to balance on beam, as part of Neurological Severity Score (NSS)	Value List	0 | 1	NINDS > Preclinical TBI		BRICS Variable Name:NSSBeamBalanceInabScale	NINDS	Qualified	False
WFH2Pzlo	Neurological Severity Score (NSS) - beam walk width 1 scale	Neurological Severity Score (NSS) - beam walk width 1 scale	Scale of inability to walk on a beam -width 1 - the widest of 3, as part of Neurological Severity Score (NSS)	Value List	0 | 1	NINDS > Preclinical TBI		BRICS Variable Name:NSSBeamWalkWidth1Scale	NINDS	Qualified	False
